instansi,hps_mean,hps_max,hps_min,jumlah_tender,Jasa Konsultansi Badan Usaha,Jasa Konsultansi Perorangan,Pekerjaan Konstruksi,Pengadaan Barang,Jasa Lainnya
Arsip Nasional Republik Indonesia,993738461.5384616,5800000000.0,65000000.0,26,5.0,4.0,0.0,9.0,8.0
Badan Ekonomi Kreatif,2569645161.290323,8500000000.0,429700000.0,31,0.0,0.0,2.0,9.0,20.0
Badan Kependudukan Dan Keluarga Berencana Nasional,2599455555.5555553,11400000000.0,343900000.0,18,4.0,0.0,0.0,9.0,5.0
Badan Pemeriksa Keuangan,627446000.0,2000000000.0,236200000.0,50,34.0,0.0,1.0,12.0,3.0
Badan Pengkajian Dan Penerapan Teknologi,422166666.6666667,481300000.0,387800000.0,3,0.0,0.0,0.0,3.0,0.0
Badan Penyelenggara Jaminan Sosial Kesehatan,32383333333.333332,53100000000.0,8300000000.000002,6,0.0,0.0,0.0,0.0,6.0
Badan SAR Nasional,15792228125.0,118900000000.0,751300000.0,32,0.0,0.0,3.0,29.0,0.0
Kementerian Agraria dan Tata Ruang/BPN,3620066666.6666665,15700000000.0,100400000.0,6,2.0,0.0,0.0,0.0,4.0
Kementerian Badan Usaha Milik Negara,9981428571.428572,53300000000.0,770000000.0,7,0.0,0.0,0.0,7.0,0.0
Kementerian Desa Pembangunan Daerah Tertinggal dan Transmigrasi RI,523160000.0,691500000.0,365000000.0,5,0.0,0.0,0.0,5.0,0.0
Kementerian Energi Dan Sumber Daya Mineral,1500000000.0,2000000000.0,1000000000.0,2,0.0,0.0,0.0,2.0,0.0
Kementerian Hukum Dan Hak Asasi Manusia RI,12359553608.247423,324300000000.0,0.0,97,6.0,0.0,6.0,69.0,16.0
Kementerian Komunikasi Dan Informatika,2158773026.3157897,44100000000.0,160200000.0,152,30.0,0.0,9.0,59.0,54.0
Kementerian Koordinator Bidang Kemaritiman,3232178431.372549,28000000000.0,100000000.0,51,12.0,0.0,7.0,20.0,12.0
Kementerian Koordinator Bidang Kesejahteraan Rakyat,4318969230.769231,34500000000.0,139200000.0,26,2.0,0.0,3.0,15.0,6.0
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,4024037037.037037,96800000000.0,126200000.0,81,7.0,1.0,1.0,11.0,61.0
Kementerian Koordinator Bidang Perekonomian,942141292.1348314,14000000000.0,57000000.0,356,78.0,195.0,5.0,23.0,55.0
Kementerian Luar Negeri,3855420000.0,11200000000.0,777100000.0,5,1.0,0.0,0.0,2.0,2.0
Kementerian Pekerjaan Umum,3099725000.0,10700000000.0,287900000.0,4,2.0,0.0,1.0,1.0,0.0
Kementerian Pekerjaan Umum dan Perumahan Rakyat,699500000.0,699500000.0,699500000.0,1,0.0,0.0,0.0,1.0,0.0
Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak,4143427777.7777777,46300000000.0,328300000.0,36,3.0,0.0,1.0,11.0,21.0
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,8538566666.666667,124000000000.0,123300000.0,21,6.0,0.0,1.0,2.0,12.0
Kementerian Pendidikan dan Kebudayaan,10456025000.0,47000000000.0,250100000.0,20,2.0,0.0,0.0,7.0,11.0
Kementerian Perdagangan,500000000.0,1000000000.0,0.0,2,0.0,0.0,0.0,2.0,0.0
Kementerian Perencanaan Pembangunan Nasional,836240257.3529412,117900000000.0,0.0,1088,110.0,679.0,56.0,135.0,108.0
Kementerian Pertanian,95350000000.0,168400000000.0,34200000000.000008,4,0.0,0.0,0.0,4.0,0.0
"Kementerian Riset, Teknologi, dan Pendidikan Tinggi",2789556666.6666665,94600000000.0,227900000.0,120,1.0,0.0,17.0,93.0,9.0
Kementerian Sekretariat Negara,1920743478.2608695,13300000000.0,160100000.0,23,9.0,0.0,0.0,9.0,5.0
Komisi Nasional Hak Asasi Manusia,706885714.2857143,5400000000.0,74000000.0,21,4.0,0.0,2.0,10.0,5.0
Komisi Pemilihan Umum,14848166483.516483,872700000000.0,0.0,182,0.0,0.0,2.0,52.0,128.0
Lembaga Administrasi Negara,923386363.6363636,6800000000.0,63900000.0,22,0.0,0.0,3.0,13.0,6.0
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,312773315789.4737,34700000000000.004,0.0,228,49.0,8.0,7.0,87.0,77.0
Lembaga Ketahanan Nasional,3334060000.0,17900000000.0,130500000.0,10,6.0,0.0,3.0,1.0,0.0
Lembaga Penerbangan Dan Antariksa Nasional,4184955555.5555553,14700000000.0,374700000.0,18,0.0,0.0,1.0,15.0,2.0
Lembaga Penerbangan Dan Antariksa Nasional (LAPAN),1936190229.8850574,23500000000.0,1000000.0,174,13.0,0.0,28.0,126.0,7.0
Lembaga Penyiaran Publik Radio Republik Indonesia,2521816666.6666665,11900000000.0,297600000.0,12,0.0,0.0,0.0,12.0,0.0
Lembaga Penyiaran Radio Republik Indonesia,1544206451.612903,11100000000.0,248800000.0,62,3.0,0.0,6.0,49.0,4.0
Mahkamah Agung,180000000.0,180000000.0,180000000.0,1,1.0,0.0,0.0,0.0,0.0
Majelis Permusyawaratan Rakyat,4088010000.0,20300000000.0,297700000.0,30,1.0,0.0,1.0,4.0,24.0
Ombudsman Republik Indonesia,707700000.0,1100000000.0,0.0,12,1.0,0.0,2.0,4.0,5.0
PD PAL Jaya,6311524137.931034,70100000000.0,51500000.0,29,17.0,0.0,12.0,0.0,0.0
PDAM Kabupaten Semarang,415638461.53846157,653500000.0,227700000.0,26,0.0,0.0,0.0,24.0,2.0
PDAM Lawu Tirta,413995454.54545456,867600000.0,0.0,22,0.0,0.0,18.0,4.0,0.0
PDAM Tirta Aji Kabupaten Wonosobo,1010946153.8461539,3000000000.0,120000000.0,13,0.0,0.0,2.0,11.0,0.0
PDAM Tirta Gemilang Kabupaten Magelang,638900000.0,1600000000.0,209100000.0,21,0.0,0.0,3.0,18.0,0.0
PDAM Tirta Mahakam,2284676190.4761906,7500000000.0,199900000.0,42,4.0,0.0,17.0,21.0,0.0
PDAM Tirta Moedal,3481047619.047619,15900000000.0,301400000.0,21,0.0,0.0,0.0,21.0,0.0
PT Jakarta Tourisindo,1300000000.0,1300000000.0,1300000000.0,1,0.0,0.0,0.0,0.0,1.0
PT Sarana Pembangunan Jawa Tengah,1900000000.0,1900000000.0,1900000000.0,1,1.0,0.0,0.0,0.0,0.0
Pemerintah Daerah Kabupaten Berau,184600000000.0,184600000000.0,184600000000.0,1,0.0,0.0,1.0,0.0,0.0
Pemerintah Daerah Kabupaten Jember,931000000.0,931000000.0,931000000.0,1,0.0,0.0,0.0,1.0,0.0
Pemerintah Daerah Kabupaten Jepara,1663333333.3333333,4900000000.0,480000000.0,6,0.0,0.0,0.0,6.0,0.0
Pemerintah Daerah Kabupaten Kendal,714136363.6363636,1200000000.0,364900000.0,11,0.0,0.0,0.0,11.0,0.0
Pemerintah Daerah Kabupaten Nganjuk,110950000000.0,218000000000.0,3900000000.0,2,1.0,0.0,1.0,0.0,0.0
Pemerintah Daerah Kabupaten Subang,373300000.0,387700000.0,358900000.0,2,0.0,0.0,0.0,2.0,0.0
Pemerintah Daerah Kabupaten Wonosobo,770660526.3157895,2200000000.0,111900000.0,38,0.0,0.0,0.0,37.0,1.0
Pemerintah Daerah Kota Bandung,2168788888.888889,6200000000.0,619100000.0,9,0.0,0.0,0.0,9.0,0.0
Pemerintah Daerah Kota Magelang,826264285.7142857,3700000000.0,150400000.0,28,6.0,0.0,9.0,12.0,1.0
Pemerintah Daerah Kota Metro,1036875000.0,2200000000.0,348600000.0,4,0.0,0.0,4.0,0.0,0.0
Pemerintah Daerah Kota Salatiga,7333333333.333333,15700000000.0,2200000000.0,3,0.0,0.0,0.0,3.0,0.0
Pemerintah Daerah Provinsi DKI Jakarta,1263133333.3333333,2200000000.0,489400000.0,3,0.0,0.0,0.0,1.0,2.0
Pemerintah Daerah Provinsi Jawa Tengah,1800000000.0,1800000000.0,1800000000.0,1,0.0,0.0,0.0,1.0,0.0
Pemerintah Provinsi Bengkulu,208300000.0,208300000.0,208300000.0,1,0.0,0.0,0.0,1.0,0.0
Pengadilan Agama Tigaraksa,1555000000.0,3000000000.0,110000000.0,2,1.0,0.0,1.0,0.0,0.0
Pengadilan Tinggi Agama Banten,494300000.0,494300000.0,494300000.0,1,0.0,0.0,1.0,0.0,0.0
Perum Perhutani,2250000000.0,2500000000.0,2000000000.0,2,1.0,0.0,0.0,0.0,1.0
Sekretariat Kabinet,1133286956.5217392,9200000000.0,221500000.0,69,5.0,0.0,3.0,34.0,27.0
Tentara Nasional Republik Indonesia,1465000000.0,3900000000.0,234000000.0,3,0.0,0.0,3.0,0.0,0.0
Universitas Diponegoro,1291512000.0,2800000000.0,350000000.0,25,0.0,0.0,1.0,22.0,2.0
Universitas Indonesia,13643686666.666666,60200000000.0,293500000.0,15,0.0,0.0,4.0,5.0,6.0
Universitas Paramadina,627000000.0,654000000.0,600000000.0,2,0.0,0.0,0.0,2.0,0.0
